op_id;date;Mov;clpv;cant;cat;brand;ref;conect;Colores;comp;other;cost;sale;utl;cod_mv;dia;mes;año
1;2022-05-22;CMP;SmartPlus;5;Cables;Smart Plus;SMP-C1V;V8;Rojo;Caja;Datos;4500 ;10000 ;-22500 ;5;22;5;2022
2;2022-05-22;CMP;SmartPlus;5;Cables;Smart Plus;SMP-C1T;TC;Rojo;Caja;Datos;4500 ;10000 ;-22500 ;5;22;5;2022
3;2022-05-22;CMP;SmartPlus;5;Manos Libres;Samsung;Bolsa;Plug 3.5;SE;SE;SE;3500 ;9000 ;-17500 ;5;22;5;2022
4;2022-05-22;CMP;SmartPlus;5;Manos Libres;Samsung;Bolsa;Plug 3.5;SE;SE;SE;3500 ;9000 ;-17500 ;5;22;5;2022
5;2022-05-22;CMP;SmartPlus;5;Cargadores;Samsung;SM-S8;V8;Blanco;Caja;Alambrico;6500 ;15000 ;-32500 ;5;22;5;2022
6;2022-05-22;CMP;SmartPlus;5;Cargadores;Samsung;Travel 25w;TC;Blanco;Caja;Carga Rapida;9500 ;24000 ;-47500 ;5;22;5;2022
7;2022-05-22;CMP;SmartPlus;5;Cargadores;Huawei;HW-059200;V8;Blanco;Caja;Alambrico;7500 ;15000 ;-37500 ;5;22;5;2022
8;2022-05-22;CMP;SmartPlus;2;Baterias;Samsung;SM-J7;Extraible;Negro;Caja;Extraible;12500 ;24000 ;-25000 ;2;22;5;2022
9;2022-05-22;CMP;SmartPlus;5;Baterias;Nokia;Bl4C;Extraible;Negro;Bolsa;Extraible;2800 ;7000 ;-14000 ;5;22;5;2022
10;2022-05-22;CMP;SmartPlus;1;Audifonos Bluethooth;Apple;i12VC;Bluethoot;VerdeClaro;Caja cbl;RDC2022-EH03-EH04-SF2021;20000 ;35000 ;-20000 ;1;22;5;2022
11;2022-05-22;CMP;SmartPlus;1;Audifonos Bluethooth;Apple;i12B;Bluethoot;Blanco;Caja cbl;RDC2022-EH03-EH04-SF2021;20000 ;35000 ;-20000 ;1;22;5;2022
12;2022-05-22;CMP;SmartPlus;1;Audifonos Bluethooth;Apple;i12N;Bluethoot;Negro;Caja cbl;RDC2022-EH03-EH04-SF2021;20000 ;35000 ;-20000 ;1;22;5;2022
13;2022-05-22;CMP;SmartPlus;1;Audifonos Bluethooth;Apple;i12AC;Bluethoot;AzulClaro;Caja cbl;RDC2022-EH03-EH04-SF2021;20000 ;35000 ;-20000 ;1;22;5;2022
14;2022-05-22;CMP;SmartPlus;1;Audifonos Bluethooth;Apple;i12G;Bluethoot;Gris;Caja cbl;RDC2022-EH03-EH04-SF2021;20000 ;35000 ;-20000 ;1;22;5;2022
15;2022-05-22;CMP;SmartPlus;3;Convertidores;Apple;Ligthning-Jack;Ligthning-Jack;Blanco;Caja;Alambrico;7500 ;15000 ;-22500 ;3;22;5;2022
16;2022-05-22;CMP;SmartPlus;2;Cargadores;Apple;M55 5w;Ligthning;Blanco;Caja;Alambrico;8000 ;15000 ;-16000 ;2;22;5;2022
17;2022-05-22;CMP;Sebastian LC17;1;Teclados;Ramitech;RAM-TB6;Bluethoot;Blanco;Caja;Inalambrico;38000 ;55000 ;-38000 ;1;22;5;2022
18;2022-05-22;CMP;Sebastian LC17;1;Teclados;Ramitech;TJ-808;USB;Negro;Combo Mouse;Alambrico;38000 ;55000 ;-38000 ;1;22;5;2022
19;2022-05-22;CMP;Sebastian LC17;1;Teclados;Ramitech;RG-1017RB;USB;Negro;Caja;Alambrico;17000 ;35000 ;-17000 ;1;22;5;2022
20;2022-05-22;CMP;Sebastian LC17;1;Teclados;Generico;TJ-818;USB;Negro;Caja;Inalambrico;15000 ;29000 ;-15000 ;1;22;5;2022
21;2022-05-22;CMP;Sebastian LC17;1;Teclados;Generico;T13;USB;Negro;Combo Mouse;Alambrico;24000 ;44000 ;-24000 ;1;22;5;2022
22;2022-05-22;CMP;Sebastian LC17;1;Audifonos Bluethooth;Apple;i12R;Bluethoot;Rojo;Caja cbl;ORMI21/22;20000 ;35000 ;-20000 ;1;22;5;2022
23;2022-05-22;CMP;Sebastian LC17;1;Audifonos Bluethooth;Apple;i12AO;Bluethoot;AzulOscuro;Caja cbl;ORMI21/22;20000 ;35000 ;-20000 ;1;22;5;2022
24;2022-05-22;CMP;Sebastian LC17;5;Cargadores;Belkin;CAR-301-1V;V8;Blanco;Caja cbl;Alambrico;10000 ;20000 ;-50000 ;5;22;5;2022
25;2022-05-22;CMP;Sebastian LC17;5;Cargadores;Belkin;CAR-301-1T;TC;Blanco;Caja cbl;Alambrico;10000 ;20000 ;-50000 ;5;22;5;2022
26;2022-05-22;CMP;Sebastian LC17;2;Tripodes;Generico;TRIPOD3110;Bluethoot;Negro;Caja cbl;Inalambrico;20000 ;35000 ;-40000 ;2;22;5;2022
27;2022-05-22;CMP;Sebastian LC17;1;Balacas;OCZU;OZ-8809BT-R;Bluethoot;Rojo;Caja cbl;Inalambrico;26000 ;39000 ;-26000 ;1;22;5;2022
28;2022-05-22;CMP;Sebastian LC17;1;Balacas;OCZU;OZ-8809BT-N;Bluethoot;Negro;Caja cbl;Inalambrico;26000 ;39000 ;-26000 ;1;22;5;2022
29;2022-05-22;CMP;Sebastian LC17;1;Balacas;OCZU;OZ-868BT-A;Bluethoot;Azul;Caja cbl;Inalambrico Pantalla;29000 ;44000 ;-29000 ;1;22;5;2022
30;2022-05-22;CMP;Sebastian LC17;1;Balacas;OCZU;OZ-868BT-R;Bluethoot;Rojo;Caja cbl;Inalambrico Pantalla;29000 ;44000 ;-29000 ;1;22;5;2022
31;2022-05-22;CMP;Sebastian LC17;1;Mouse;OCZU;OZ-2815;Inalambrico;Azul;BlisterReceptor;Inalambrico;16000 ;29000 ;-16000 ;1;22;5;2022
32;2022-05-22;CMP;Sebastian LC17;1;Mouse;OCZU;OZ-2815;Inalambrico;Gris;BlisterReceptor;Inalambrico;16000 ;29000 ;-16000 ;1;22;5;2022
33;2022-05-22;CMP;Sebastian LC17;3;Mouse;Jedel;TB220;USB;Negro;Caja;Alambrico;5500 ;12000 ;-16500 ;3;22;5;2022
34;2022-05-22;CMP;Sebastian LC17;2;Mouse;Generico;S1;USB;Negro;Caja;Alambrico;4000 ;19000 ;-8000 ;2;22;5;2022
35;2022-05-22;CMP;Sebastian LC17;2;Mouse;Ramitech;MO16;USB;Negro;Caja;Inalambrico;15000 ;25000 ;-30000 ;2;22;5;2022
36;2022-05-22;CMP;Sebastian LC17;1;HolderCar;Generico;PataG;Chupa;Negro;Caja;2Piezas;8000 ;19000 ;-8000 ;1;22;5;2022
37;2022-05-22;CMP;Sebastian LC17;1;Parlantes;Ramitech;HT-208;USB y JackPlug;Azul;Caja;Cables;20000 ;35000 ;-20000 ;1;22;5;2022
38;2022-05-22;CMP;Sebastian LC17;1;HolderCar;Pronix;NIXH-15;Magnetico y rejilla;Negro;Caja;2Piezas;14000 ;29000 ;-14000 ;1;22;5;2022
39;2022-05-22;CMP;Sebastian LC17;1;HolderCar;Generico;GS-M011 Espejo;Acople;Negro;Caja;Retrovisor;14000 ;29000 ;-14000 ;1;22;5;2022
40;2022-05-22;CMP;Sebastian LC17;1;HolderCar;Generico;HOLD-215;Acople;Negro;Caja;Portavasos;20000 ;35000 ;-20000 ;1;22;5;2022
41;2022-05-22;CMP;Sebastian LC17;1;HolderCar;Generico;XWJ-1802;Acople;Negro;Caja;Tacometro;8000 ;19000 ;-8000 ;1;22;5;2022
